time,Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
0.0000,0.545,-6.799,-35.094,-32.589,3.107,-25.946,-20.418,-24.277,-26.051,14.428,4.922,-32.019,33.530,-4.386,18.541,-6.210,-16.083,-21.838,13.580
0.0039,8.097,-3.932,-32.304,-32.625,3.728,-19.975,-20.043,-29.148,-26.043,19.402,5.376,-47.589,34.679,-0.237,16.384,-7.380,-13.247,-21.255,12.734
0.0078,10.028,-5.819,-34.800,-35.377,7.494,-15.258,-17.075,-28.806,-27.302,22.445,6.395,-61.024,34.391,5.381,15.517,-7.914,-7.140,-22.058,7.322
0.0117,11.181,-8.301,-29.393,-30.093,11.911,-12.636,-17.600,-29.276,-29.065,28.296,10.021,-68.042,30.237,8.580,14.160,-8.565,-2.834,-18.070,4.977
0.0156,11.164,-5.654,-25.003,-25.814,13.315,-11.584,-15.902,-22.263,-27.147,27.860,11.673,-73.597,27.960,14.731,10.972,-5.636,-1.050,-18.024,4.073
0.0195,10.800,-0.527,-18.949,-22.892,16.500,-11.813,-14.065,-18.503,-22.803,26.987,11.500,-72.807,25.193,18.334,8.063,-4.581,2.036,-16.554,2.775
0.0234,15.165,2.330,-10.369,-18.599,14.082,-4.683,-7.313,-8.176,-14.923,26.172,6.125,-70.930,20.441,20.551,2.955,-4.888,8.508,-16.133,4.935
0.0273,16.251,2.745,-8.021,-12.320,12.936,0.541,1.674,0.973,-9.890,23.735,4.561,-69.546,18.941,20.832,-1.839,-6.628,16.621,-14.033,4.001
0.0312,14.280,1.703,-2.323,-7.022,10.911,5.487,11.740,10.681,-4.997,18.964,1.429,-61.852,10.200,21.890,-3.653,-5.543,21.082,-10.486,-1.819
0.0352,8.878,1.155,1.472,0.247,11.661,11.799,20.967,16.456,3.575,16.424,-1.838,-54.042,1.776,19.964,-5.580,-3.007,22.516,-6.357,-6.011
0.0391,2.368,4.316,4.673,11.792,12.362,16.085,28.925,22.068,9.673,10.941,-5.273,-45.345,-5.525,16.659,-5.425,-0.006,24.220,-5.379,-7.386
